Origin,Destination,Carrier,ShipmentType,Weight,Volume,Dimensions,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,DeliveryTimeDays
Dallas,Miami,FedEx,Express,89.4,3.1,46x13x23,2025-05-23,2025-05-23,2025-05-27,2025-05-29,Delayed,6
Atlanta,San Francisco,FedEx,Standard,230.5,5.1,50x38x16,2025-05-15,2025-05-15,2025-05-22,2025-05-22,Delivered,7
Atlanta,Phoenix,FedEx,Fragile,147.0,3.3,24x34x9,2025-05-22,2025-05-22,2025-05-26,2025-05-28,Delivered,6
New York,Houston,DHL,Express,332.2,6.2,40x33x24,2025-05-15,2025-05-16,2025-05-21,2025-05-21,Delayed,5
Chicago,San Francisco,UPS,Express,250.8,5.1,19x16x18,2025-05-14,2025-05-14,2025-05-18,2025-05-18,Delivered,4
Miami,Phoenix,UPS,Express,73.0,3.5,22x29x13,2025-05-18,2025-05-18,2025-05-20,2025-05-20,Delivered,2
San Diego,Miami,FedEx,Fragile,241.4,3.6,43x11x18,2025-05-14,2025-05-14,2025-05-16,2025-05-16,Delayed,2
Chicago,Denver,DHL,Express,345.3,6.3,32x10x24,2025-05-24,2025-05-24,2025-05-31,2025-05-31,Delayed,7
Miami,Austin,UPS,Express,160.6,3.4,29x14x30,2025-05-09,2025-05-09,2025-05-10,2025-05-10,Delivered,1
Miami,Las Vegas,DHL,Fragile,66.9,3.2,49x27x15,2025-05-31,2025-05-31,2025-06-03,2025-06-04,Delivered,4
San Diego,Phoenix,UPS,Fragile,178.9,3.7,39x39x30,2025-05-22,2025-05-22,2025-05-27,2025-05-27,Delivered,5
Dallas,Houston,FedEx,Standard,338.5,6.1,44x17x28,2025-05-15,2025-05-16,2025-05-21,2025-05-21,Delivered,5
Boston,Phoenix,DHL,Express,341.8,5.6,47x10x16,2025-05-14,2025-05-15,2025-05-19,2025-05-19,Delivered,4
Philadelphia,Seattle,DHL,Standard,295.5,5.5,42x26x15,2025-05-17,2025-05-17,2025-05-18,2025-05-18,Disrupted,1
Dallas,Las Vegas,FedEx,Express,134.8,3.2,39x32x27,2025-05-29,2025-05-29,2025-06-05,2025-06-05,Delivered,7
New York,Austin,FedEx,Express,226.2,3.4,50x13x14,2025-05-05,2025-05-05,2025-05-07,2025-05-09,Delayed,4
San Diego,Austin,UPS,Standard,316.8,5.8,23x38x12,2025-05-23,2025-05-24,2025-05-30,2025-05-30,Delivered,6
Atlanta,Miami,UPS,Standard,301.9,4.6,15x25x30,2025-05-08,2025-05-09,2025-05-11,2025-05-13,Delivered,4
Philadelphia,Los Angeles,FedEx,Fragile,265.8,3.6,47x22x18,2025-05-01,2025-05-02,2025-05-04,2025-05-06,Delivered,4
Boston,Houston,UPS,Fragile,75.4,3.4,44x12x29,2025-05-29,2025-05-29,2025-06-01,2025-06-01,Delivered,3
Philadelphia,Miami,FedEx,Fragile,243.5,4.2,31x32x18,2025-05-05,2025-05-05,2025-05-10,2025-05-10,Delivered,5
Philadelphia,Orlando,UPS,Express,227.0,5.2,40x17x21,2025-05-07,2025-05-07,2025-05-09,2025-05-09,Delayed,2
Detroit,Seattle,DHL,Express,87.1,2.1,47x40x8,2025-05-28,2025-05-28,2025-05-30,2025-05-30,Delivered,2
Dallas,Orlando,DHL,Fragile,53.0,3.1,15x20x20,2025-05-19,2025-05-20,2025-05-24,2025-05-26,Delivered,6
Philadelphia,Las Vegas,UPS,Standard,280.6,4.1,48x17x17,2025-05-08,2025-05-08,2025-05-14,2025-05-15,Delivered,7
New York,Phoenix,DHL,Fragile,186.5,4.6,39x19x29,2025-05-29,2025-05-30,2025-05-31,2025-05-31,Delivered,1
Chicago,Miami,FedEx,Express,113.2,3.2,17x19x10,2025-05-31,2025-06-01,2025-06-04,2025-06-04,Delivered,3
Miami,Austin,UPS,Express,263.9,3.2,49x35x30,2025-05-31,2025-06-01,2025-06-03,2025-06-03,Disrupted,2
Houston,Seattle,FedEx,Standard,321.1,4.5,37x24x28,2025-05-10,2025-05-10,2025-05-17,2025-05-17,Delayed,7
Philadelphia,Houston,DHL,Standard,113.9,2.3,44x24x12,2025-05-14,2025-05-14,2025-05-16,2025-05-16,Delivered,2
Detroit,Seattle,UPS,Express,131.0,3.7,25x15x24,2025-05-16,2025-05-17,2025-05-20,2025-05-20,Delivered,3
Philadelphia,Miami,FedEx,Fragile,340.5,4.0,17x19x27,2025-05-26,2025-05-26,2025-05-31,2025-06-01,Delivered,6
Boston,San Francisco,UPS,Fragile,91.3,3.7,33x37x29,2025-05-02,2025-05-02,2025-05-05,2025-05-05,Delivered,3
Philadelphia,Los Angeles,UPS,Express,112.8,2.1,21x39x18,2025-05-04,2025-05-04,2025-05-07,2025-05-07,Delayed,3
Atlanta,San Francisco,FedEx,Fragile,317.9,3.8,35x32x9,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Delivered,5
Boston,San Francisco,DHL,Standard,167.6,3.1,27x21x19,2025-05-10,2025-05-10,2025-05-16,2025-05-16,Delivered,6
San Diego,Houston,FedEx,Express,265.9,5.5,25x28x14,2025-05-11,2025-05-11,2025-05-15,2025-05-15,Delayed,4
New York,Las Vegas,DHL,Express,207.9,4.0,50x27x9,2025-05-22,2025-05-22,2025-05-27,2025-05-29,Delayed,7
Atlanta,Seattle,DHL,Standard,245.7,3.2,33x15x29,2025-05-02,2025-05-02,2025-05-04,2025-05-05,Delivered,3
Philadelphia,Miami,DHL,Express,145.1,2.5,41x30x8,2025-05-07,2025-05-07,2025-05-08,2025-05-08,Delivered,1
San Diego,Seattle,FedEx,Express,149.5,3.5,24x18x30,2025-05-08,2025-05-09,2025-05-11,2025-05-11,Disrupted,2
Chicago,San Francisco,DHL,Standard,82.6,2.9,35x11x26,2025-05-19,2025-05-19,2025-05-20,2025-05-20,Delivered,1
Chicago,Houston,UPS,Express,91.7,1.9,27x11x23,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delayed,4
Detroit,Phoenix,FedEx,Standard,78.2,3.1,28x31x30,2025-05-29,2025-05-29,2025-06-05,2025-06-05,Delivered,7
Boston,Denver,FedEx,Standard,343.1,6.4,42x20x8,2025-05-13,2025-05-13,2025-05-18,2025-05-18,Delayed,5
Atlanta,Denver,FedEx,Standard,304.7,5.6,47x30x11,2025-05-27,2025-05-27,2025-05-29,2025-05-30,Delivered,3
Chicago,San Francisco,DHL,Standard,165.9,2.6,48x16x14,2025-05-21,2025-05-21,2025-05-27,2025-05-29,Delayed,8
Philadelphia,Houston,DHL,Express,271.7,5.2,49x36x11,2025-05-10,2025-05-11,2025-05-15,2025-05-15,Delayed,4
Dallas,Miami,FedEx,Express,234.9,4.9,30x18x25,2025-05-24,2025-05-24,2025-05-27,2025-05-27,Delivered,3
Houston,Orlando,FedEx,Express,128.6,4.2,45x23x20,2025-05-02,2025-05-02,2025-05-09,2025-05-09,Delayed,7
New York,Denver,FedEx,Express,214.4,5.0,33x38x29,2025-05-22,2025-05-22,2025-05-23,2025-05-25,Delivered,3
San Diego,Houston,DHL,Express,196.0,4.7,19x20x23,2025-05-07,2025-05-07,2025-05-09,2025-05-09,Delivered,2
San Diego,Seattle,UPS,Fragile,331.6,4.6,18x26x8,2025-05-29,2025-05-29,2025-06-05,2025-06-06,Delivered,8
Philadelphia,San Francisco,FedEx,Standard,153.4,4.0,41x25x30,2025-05-11,2025-05-11,2025-05-18,2025-05-18,Delivered,7
Miami,Seattle,UPS,Fragile,294.9,5.1,33x25x13,2025-05-13,2025-05-13,2025-05-18,2025-05-18,Delivered,5
Miami,Seattle,DHL,Fragile,54.5,1.6,23x20x11,2025-05-20,2025-05-20,2025-05-26,2025-05-26,Disrupted,6
Chicago,Las Vegas,FedEx,Fragile,243.8,4.6,42x34x23,2025-05-28,2025-05-28,2025-05-31,2025-05-31,Delivered,3
Boston,Seattle,DHL,Standard,265.0,3.8,48x31x12,2025-05-05,2025-05-05,2025-05-09,2025-05-09,Delayed,4
Philadelphia,Denver,UPS,Express,348.9,6.5,18x18x18,2025-05-07,2025-05-07,2025-05-09,2025-05-09,Delivered,2
Atlanta,Houston,UPS,Fragile,338.0,4.4,30x14x23,2025-05-26,2025-05-26,2025-06-01,2025-06-01,Delayed,6
Miami,Houston,UPS,Express,249.8,4.0,16x15x13,2025-05-05,2025-05-05,2025-05-10,2025-05-10,Delivered,5
Miami,San Francisco,UPS,Express,103.4,3.0,49x26x13,2025-05-28,2025-05-28,2025-06-02,2025-06-03,Delayed,6
Detroit,Las Vegas,FedEx,Fragile,321.2,6.0,40x40x20,2025-05-17,2025-05-17,2025-05-24,2025-05-24,Delivered,7
Detroit,Seattle,FedEx,Fragile,280.7,5.2,21x24x16,2025-05-07,2025-05-08,2025-05-10,2025-05-10,Delivered,2
Chicago,Houston,UPS,Fragile,216.0,3.1,27x22x12,2025-05-28,2025-05-28,2025-05-30,2025-05-30,Disrupted,2
Houston,Phoenix,UPS,Express,224.1,5.0,35x33x18,2025-05-06,2025-05-07,2025-05-09,2025-05-09,Delivered,2
Chicago,Houston,FedEx,Standard,244.9,3.3,38x28x15,2025-05-10,2025-05-10,2025-05-13,2025-05-15,Delivered,5
Chicago,Las Vegas,FedEx,Standard,125.9,3.8,40x22x13,2025-05-02,2025-05-03,2025-05-04,2025-05-04,Delivered,1
Houston,Seattle,DHL,Standard,206.0,4.9,48x21x14,2025-05-26,2025-05-26,2025-06-02,2025-06-02,Delayed,7
Detroit,Orlando,UPS,Express,58.7,1.8,43x33x8,2025-05-17,2025-05-17,2025-05-24,2025-05-26,Delayed,9
Chicago,Orlando,FedEx,Fragile,171.9,2.5,35x11x30,2025-05-16,2025-05-17,2025-05-18,2025-05-18,Delivered,1
Chicago,Las Vegas,UPS,Express,115.9,1.9,25x36x13,2025-05-24,2025-05-24,2025-05-26,2025-05-26,Disrupted,2
Atlanta,Orlando,DHL,Express,84.2,2.5,15x38x16,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Disrupted,5
Houston,Orlando,FedEx,Express,238.9,4.7,48x19x26,2025-05-31,2025-05-31,2025-06-05,2025-06-07,Delayed,7
Dallas,Houston,UPS,Standard,300.3,4.7,26x33x19,2025-05-14,2025-05-14,2025-05-21,2025-05-21,Delivered,7
Miami,Orlando,DHL,Fragile,307.9,3.7,44x25x26,2025-05-03,2025-05-04,2025-05-10,2025-05-10,Delivered,6
Houston,San Francisco,UPS,Fragile,184.4,2.7,16x28x22,2025-05-12,2025-05-13,2025-05-13,2025-05-14,Delivered,1
Dallas,Miami,UPS,Standard,278.3,3.7,29x32x16,2025-05-23,2025-05-24,2025-05-24,2025-05-26,Delivered,2
Dallas,Phoenix,DHL,Standard,276.4,4.6,40x12x30,2025-05-06,2025-05-06,2025-05-13,2025-05-13,Delivered,7
Philadelphia,Austin,DHL,Fragile,262.0,3.9,24x37x23,2025-05-19,2025-05-19,2025-05-26,2025-05-27,Delivered,8
Houston,Los Angeles,UPS,Fragile,250.4,4.3,23x35x15,2025-05-27,2025-05-27,2025-05-28,2025-05-28,Delayed,1
Atlanta,Phoenix,FedEx,Express,66.2,1.2,45x25x12,2025-05-28,2025-05-28,2025-06-01,2025-06-01,Delivered,4
Boston,Los Angeles,DHL,Express,89.3,3.1,46x33x11,2025-05-01,2025-05-01,2025-05-03,2025-05-05,Delivered,4
New York,Seattle,UPS,Standard,67.7,1.7,43x25x13,2025-05-10,2025-05-10,2025-05-11,2025-05-11,Delivered,1
Miami,Las Vegas,UPS,Express,145.6,2.3,34x20x25,2025-05-27,2025-05-27,2025-06-01,2025-06-03,Delivered,7
Houston,San Francisco,UPS,Express,235.2,5.0,25x17x30,2025-05-04,2025-05-05,2025-05-07,2025-05-07,Disrupted,2
Atlanta,Orlando,FedEx,Express,86.8,3.0,43x36x12,2025-05-11,2025-05-12,2025-05-17,2025-05-17,Delivered,5
Atlanta,Orlando,UPS,Express,211.7,4.7,25x12x17,2025-05-27,2025-05-27,2025-05-28,2025-05-29,Delivered,2
Detroit,Austin,FedEx,Express,251.9,4.8,43x10x17,2025-05-26,2025-05-27,2025-05-27,2025-05-27,Delivered,0
Dallas,Seattle,UPS,Express,293.6,3.8,41x35x14,2025-05-18,2025-05-19,2025-05-25,2025-05-25,Delivered,6
Detroit,Orlando,DHL,Standard,299.1,4.5,19x29x25,2025-05-05,2025-05-05,2025-05-10,2025-05-10,Delayed,5
Atlanta,Los Angeles,FedEx,Express,120.4,3.5,42x28x16,2025-05-31,2025-06-01,2025-06-03,2025-06-04,Delivered,3
Chicago,Seattle,UPS,Standard,347.4,5.8,17x34x10,2025-05-05,2025-05-06,2025-05-10,2025-05-12,Delivered,6
Philadelphia,Houston,DHL,Express,53.6,2.2,26x26x26,2025-05-06,2025-05-06,2025-05-07,2025-05-07,Delayed,1
Atlanta,Houston,FedEx,Express,312.6,4.1,48x33x12,2025-05-05,2025-05-05,2025-05-10,2025-05-10,Delivered,5
Miami,Houston,UPS,Express,73.1,2.5,46x11x20,2025-05-28,2025-05-28,2025-05-29,2025-05-29,Delivered,1
Philadelphia,Houston,FedEx,Standard,138.0,3.0,16x34x27,2025-05-15,2025-05-15,2025-05-20,2025-05-20,Delivered,5
New York,San Francisco,DHL,Express,188.5,3.3,29x38x29,2025-05-24,2025-05-24,2025-05-30,2025-05-30,Delivered,6
New York,Austin,FedEx,Fragile,86.6,2.7,30x27x26,2025-05-02,2025-05-03,2025-05-05,2025-05-05,Delivered,2
Dallas,Miami,FedEx,Standard,324.0,5.9,16x16x8,2025-05-23,2025-05-23,2025-05-27,2025-05-28,Delayed,5
Miami,Orlando,UPS,Fragile,168.5,3.2,42x34x30,2025-05-18,2025-05-18,2025-05-20,2025-05-20,Delayed,2
Dallas,Orlando,DHL,Express,89.9,1.7,15x35x27,2025-05-20,2025-05-21,2025-05-22,2025-05-22,Delivered,1
Houston,Austin,FedEx,Fragile,224.4,3.9,27x40x17,2025-05-15,2025-05-15,2025-05-17,2025-05-17,Delivered,2
New York,Phoenix,DHL,Standard,68.5,1.5,32x19x10,2025-05-27,2025-05-27,2025-05-30,2025-06-01,Delivered,5
Atlanta,San Francisco,DHL,Fragile,178.8,4.2,41x27x20,2025-05-23,2025-05-23,2025-05-27,2025-05-28,Delivered,5
Miami,Miami,FedEx,Express,294.9,5.9,43x33x12,2025-05-04,2025-05-04,2025-05-08,2025-05-08,Delivered,4
Houston,Seattle,UPS,Express,233.0,3.3,48x21x14,2025-05-11,2025-05-11,2025-05-16,2025-05-16,Delivered,5
Atlanta,Austin,FedEx,Standard,272.9,5.2,49x14x13,2025-05-06,2025-05-06,2025-05-13,2025-05-13,Delivered,7
San Diego,Phoenix,FedEx,Fragile,93.9,2.4,33x11x19,2025-05-02,2025-05-02,2025-05-08,2025-05-08,Delivered,6
Miami,Austin,DHL,Fragile,344.7,4.5,27x25x18,2025-05-19,2025-05-20,2025-05-21,2025-05-21,Delivered,1
Miami,Phoenix,FedEx,Standard,208.0,3.0,41x19x26,2025-05-31,2025-06-01,2025-06-05,2025-06-05,Delivered,4
Philadelphia,Los Angeles,UPS,Standard,244.0,5.4,17x32x17,2025-05-31,2025-05-31,2025-06-04,2025-06-04,Delivered,4
Atlanta,Houston,UPS,Fragile,91.9,3.8,47x36x19,2025-05-22,2025-05-23,2025-05-29,2025-05-29,Delivered,6
Houston,Seattle,DHL,Express,154.9,4.4,35x40x30,2025-05-01,2025-05-01,2025-05-05,2025-05-06,Delivered,5
New York,Orlando,UPS,Standard,260.8,5.1,50x28x11,2025-05-02,2025-05-02,2025-05-07,2025-05-09,Delivered,7
Atlanta,Las Vegas,DHL,Standard,112.0,3.1,47x28x18,2025-05-21,2025-05-22,2025-05-26,2025-05-26,Delivered,4
Philadelphia,San Francisco,FedEx,Fragile,320.9,4.8,45x29x10,2025-05-28,2025-05-28,2025-06-01,2025-06-01,Delivered,4
Boston,Phoenix,UPS,Express,98.2,2.2,49x14x23,2025-05-05,2025-05-05,2025-05-11,2025-05-13,Disrupted,8
Dallas,Austin,DHL,Express,294.3,5.1,50x16x22,2025-05-31,2025-05-31,2025-06-07,2025-06-08,Delivered,8
Dallas,Seattle,DHL,Express,74.9,2.3,26x13x27,2025-05-15,2025-05-15,2025-05-19,2025-05-19,Delayed,4
Atlanta,Phoenix,FedEx,Fragile,330.5,5.7,28x35x24,2025-05-16,2025-05-16,2025-05-20,2025-05-20,Delayed,4
San Diego,Las Vegas,DHL,Express,232.2,3.2,40x22x12,2025-05-11,2025-05-11,2025-05-14,2025-05-14,Delivered,3
Detroit,Austin,UPS,Fragile,127.3,2.1,40x33x27,2025-05-19,2025-05-19,2025-05-24,2025-05-24,Delayed,5
Houston,Orlando,UPS,Standard,108.7,3.9,24x36x25,2025-05-25,2025-05-26,2025-05-27,2025-05-27,Delivered,1
Chicago,Denver,UPS,Standard,214.0,3.0,23x36x10,2025-05-16,2025-05-17,2025-05-21,2025-05-21,Delivered,4
Miami,Austin,FedEx,Fragile,339.6,5.5,29x35x12,2025-05-19,2025-05-19,2025-05-22,2025-05-22,Delivered,3
Miami,Los Angeles,DHL,Express,173.2,3.6,28x23x17,2025-05-16,2025-05-17,2025-05-22,2025-05-22,Delayed,5
New York,Orlando,UPS,Fragile,201.7,3.7,30x12x8,2025-05-12,2025-05-12,2025-05-14,2025-05-14,Delayed,2
San Diego,Orlando,FedEx,Express,347.6,4.1,45x38x22,2025-05-19,2025-05-19,2025-05-23,2025-05-23,Delivered,4
Miami,San Francisco,FedEx,Fragile,56.9,1.7,43x21x10,2025-05-17,2025-05-17,2025-05-21,2025-05-22,Delivered,5
Boston,San Francisco,FedEx,Express,336.6,4.8,25x19x19,2025-05-15,2025-05-16,2025-05-16,2025-05-16,Delivered,0
Boston,Houston,UPS,Standard,74.0,2.7,21x23x17,2025-05-16,2025-05-16,2025-05-19,2025-05-19,Delayed,3
Atlanta,Denver,DHL,Standard,263.0,5.4,46x24x9,2025-05-26,2025-05-26,2025-06-01,2025-06-02,Delivered,7
Atlanta,San Francisco,UPS,Fragile,222.7,4.5,44x33x19,2025-05-24,2025-05-24,2025-05-28,2025-05-28,Delivered,4
Miami,Los Angeles,FedEx,Fragile,283.7,5.6,45x37x20,2025-05-08,2025-05-08,2025-05-14,2025-05-14,Delayed,6
Atlanta,Las Vegas,FedEx,Fragile,137.8,3.5,29x19x10,2025-05-26,2025-05-26,2025-05-27,2025-05-27,Delivered,1
Houston,Houston,UPS,Standard,204.4,3.5,25x37x15,2025-05-18,2025-05-18,2025-05-24,2025-05-25,Delivered,7
Philadelphia,Las Vegas,FedEx,Express,166.4,3.4,32x39x18,2025-05-07,2025-05-07,2025-05-13,2025-05-13,Delivered,6
San Diego,Houston,DHL,Express,62.6,1.7,45x33x10,2025-05-30,2025-05-31,2025-06-05,2025-06-05,Delivered,5
Miami,Denver,FedEx,Express,147.0,3.4,37x35x19,2025-05-29,2025-05-29,2025-05-31,2025-05-31,Delivered,2
Boston,Denver,UPS,Fragile,253.1,3.3,17x11x17,2025-05-29,2025-05-29,2025-06-04,2025-06-04,Delivered,6
Detroit,Los Angeles,UPS,Express,238.5,2.9,39x11x26,2025-05-01,2025-05-01,2025-05-06,2025-05-06,Delivered,5
New York,Orlando,UPS,Express,86.0,3.0,24x33x12,2025-05-09,2025-05-09,2025-05-13,2025-05-15,Delivered,6
Miami,Los Angeles,FedEx,Fragile,105.1,3.7,43x17x15,2025-05-12,2025-05-12,2025-05-17,2025-05-18,Delivered,6
New York,Miami,DHL,Express,140.7,3.1,16x32x17,2025-05-20,2025-05-21,2025-05-27,2025-05-27,Delivered,6
New York,Orlando,FedEx,Fragile,80.8,1.4,38x19x19,2025-05-15,2025-05-15,2025-05-18,2025-05-19,Delivered,4
Chicago,Orlando,FedEx,Standard,192.1,2.9,36x37x21,2025-05-30,2025-05-30,2025-06-03,2025-06-04,Delivered,5
Detroit,Houston,DHL,Express,205.1,4.5,47x29x8,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delivered,4
New York,Orlando,FedEx,Fragile,206.9,4.5,28x29x20,2025-05-30,2025-05-30,2025-06-05,2025-06-05,Delivered,6
New York,Phoenix,DHL,Standard,284.1,5.2,18x32x27,2025-05-01,2025-05-01,2025-05-06,2025-05-07,Delayed,6
Philadelphia,Miami,UPS,Fragile,88.5,2.2,46x35x26,2025-05-20,2025-05-20,2025-05-27,2025-05-27,Delayed,7
Dallas,Denver,FedEx,Standard,337.9,5.2,34x39x11,2025-05-23,2025-05-23,2025-05-27,2025-05-29,Delivered,6
Houston,Denver,FedEx,Express,88.4,3.5,37x40x14,2025-05-09,2025-05-09,2025-05-11,2025-05-12,Delivered,3
Chicago,Austin,DHL,Express,321.8,5.9,15x36x11,2025-05-25,2025-05-25,2025-06-01,2025-06-01,Delivered,7
New York,Las Vegas,FedEx,Express,151.8,2.7,50x12x29,2025-05-24,2025-05-25,2025-05-29,2025-05-29,Delivered,4
Chicago,Miami,UPS,Standard,101.0,2.6,16x34x8,2025-05-10,2025-05-10,2025-05-17,2025-05-17,Delivered,7
Detroit,Austin,DHL,Standard,297.4,3.5,39x35x23,2025-05-11,2025-05-11,2025-05-15,2025-05-15,Delivered,4
San Diego,Seattle,UPS,Fragile,52.2,2.5,18x39x23,2025-05-23,2025-05-23,2025-05-25,2025-05-25,Disrupted,2
Houston,Las Vegas,UPS,Standard,148.2,2.6,26x25x25,2025-05-07,2025-05-07,2025-05-08,2025-05-08,Delivered,1
San Diego,Miami,DHL,Express,329.4,4.3,25x25x14,2025-05-27,2025-05-27,2025-05-31,2025-05-31,Delivered,4
Houston,Las Vegas,DHL,Express,92.5,3.4,45x26x8,2025-05-15,2025-05-15,2025-05-18,2025-05-18,Delivered,3
Houston,Las Vegas,FedEx,Fragile,290.8,3.7,28x23x14,2025-05-12,2025-05-12,2025-05-14,2025-05-14,Delivered,2
Miami,Seattle,FedEx,Fragile,242.7,3.4,24x24x29,2025-05-30,2025-05-30,2025-06-02,2025-06-02,Delayed,3
Houston,Phoenix,DHL,Standard,276.2,4.4,22x17x28,2025-05-01,2025-05-01,2025-05-07,2025-05-07,Delivered,6
Atlanta,Seattle,FedEx,Express,167.3,3.3,24x21x22,2025-05-12,2025-05-12,2025-05-17,2025-05-18,Delivered,6
New York,San Francisco,UPS,Standard,335.4,5.0,49x10x12,2025-05-12,2025-05-12,2025-05-14,2025-05-14,Delivered,2
Philadelphia,Houston,DHL,Express,269.6,3.3,24x18x11,2025-05-31,2025-06-01,2025-06-01,2025-06-03,Disrupted,2
Philadelphia,Las Vegas,UPS,Standard,129.5,3.6,17x11x8,2025-05-17,2025-05-17,2025-05-21,2025-05-21,Disrupted,4
Philadelphia,Orlando,UPS,Express,197.4,4.4,24x10x13,2025-05-11,2025-05-12,2025-05-17,2025-05-18,Delivered,6
Chicago,San Francisco,FedEx,Express,273.3,4.4,28x35x17,2025-05-26,2025-05-26,2025-06-02,2025-06-04,Delivered,9
New York,Austin,UPS,Fragile,154.9,4.2,37x14x25,2025-05-12,2025-05-12,2025-05-15,2025-05-17,Delivered,5
Atlanta,San Francisco,UPS,Standard,134.9,3.7,15x13x22,2025-05-09,2025-05-09,2025-05-15,2025-05-16,Delivered,7
Miami,Las Vegas,UPS,Standard,294.0,3.7,40x12x10,2025-05-31,2025-05-31,2025-06-02,2025-06-02,Delivered,2
Atlanta,Miami,DHL,Express,78.5,2.5,40x12x24,2025-05-02,2025-05-03,2025-05-05,2025-05-07,Delivered,4
San Diego,Denver,DHL,Fragile,258.1,4.0,37x34x30,2025-05-20,2025-05-20,2025-05-27,2025-05-28,Delivered,8
Chicago,Los Angeles,DHL,Express,291.5,3.8,38x27x22,2025-05-15,2025-05-15,2025-05-17,2025-05-19,Delivered,4
Dallas,Miami,DHL,Fragile,209.8,4.3,37x14x19,2025-05-23,2025-05-23,2025-05-27,2025-05-27,Disrupted,4
Boston,Austin,FedEx,Standard,300.6,4.7,15x38x22,2025-05-07,2025-05-07,2025-05-11,2025-05-11,Delivered,4
Detroit,San Francisco,DHL,Fragile,203.9,2.9,32x34x17,2025-05-29,2025-05-29,2025-06-01,2025-06-02,Delivered,4
Detroit,San Francisco,FedEx,Express,218.7,3.0,15x22x30,2025-05-02,2025-05-02,2025-05-05,2025-05-06,Delivered,4
Boston,Las Vegas,UPS,Express,311.2,4.7,33x39x27,2025-05-24,2025-05-25,2025-05-25,2025-05-25,Delayed,0
New York,Houston,DHL,Express,300.5,4.6,24x32x9,2025-05-30,2025-05-30,2025-06-03,2025-06-03,Delivered,4
Boston,Los Angeles,FedEx,Fragile,338.6,4.1,32x36x19,2025-05-04,2025-05-04,2025-05-09,2025-05-11,Delivered,7
Houston,Los Angeles,FedEx,Standard,189.5,2.6,45x14x27,2025-05-28,2025-05-29,2025-06-02,2025-06-03,Delivered,5
Dallas,Las Vegas,DHL,Standard,177.2,3.4,26x14x29,2025-05-10,2025-05-10,2025-05-16,2025-05-17,Delivered,7
Boston,Austin,FedEx,Express,70.6,2.2,41x35x28,2025-05-09,2025-05-09,2025-05-11,2025-05-11,Delivered,2
Chicago,Orlando,UPS,Fragile,152.1,2.8,41x15x24,2025-05-17,2025-05-17,2025-05-19,2025-05-19,Delivered,2
San Diego,Austin,FedEx,Fragile,95.1,2.5,20x39x16,2025-05-17,2025-05-18,2025-05-21,2025-05-22,Delivered,4
Atlanta,Austin,FedEx,Standard,265.9,5.0,50x40x21,2025-05-17,2025-05-17,2025-05-19,2025-05-19,Delivered,2
Boston,Miami,FedEx,Express,271.0,3.8,27x18x22,2025-05-20,2025-05-20,2025-05-26,2025-05-27,Disrupted,7
Detroit,Los Angeles,UPS,Standard,287.6,3.5,33x34x29,2025-05-12,2025-05-12,2025-05-16,2025-05-17,Delivered,5
Boston,Seattle,FedEx,Standard,250.6,3.5,27x22x24,2025-05-20,2025-05-20,2025-05-22,2025-05-23,Delivered,3
Chicago,Austin,UPS,Fragile,272.7,4.4,25x35x25,2025-05-03,2025-05-03,2025-05-04,2025-05-04,Delayed,1
San Diego,San Francisco,FedEx,Standard,167.6,3.6,48x34x19,2025-05-09,2025-05-09,2025-05-16,2025-05-16,Delivered,7
Houston,Miami,DHL,Express,221.7,4.5,29x35x27,2025-05-18,2025-05-18,2025-05-22,2025-05-22,Delivered,4
Philadelphia,San Francisco,UPS,Standard,298.2,3.5,31x17x29,2025-05-07,2025-05-07,2025-05-14,2025-05-14,Delivered,7
San Diego,Seattle,UPS,Fragile,295.6,5.2,46x18x13,2025-05-17,2025-05-17,2025-05-22,2025-05-22,Delivered,5
Philadelphia,Phoenix,FedEx,Standard,306.2,5.1,42x11x16,2025-05-23,2025-05-23,2025-05-29,2025-05-29,Delivered,6
Boston,Houston,FedEx,Fragile,321.8,6.1,29x40x24,2025-05-14,2025-05-14,2025-05-18,2025-05-18,Delivered,4
Atlanta,Phoenix,DHL,Standard,160.5,3.2,24x13x18,2025-05-21,2025-05-21,2025-05-28,2025-05-28,Delivered,7
Chicago,Orlando,FedEx,Standard,117.8,2.2,37x15x30,2025-05-15,2025-05-15,2025-05-22,2025-05-22,Disrupted,7
Philadelphia,Phoenix,DHL,Standard,260.3,4.1,26x40x10,2025-05-08,2025-05-09,2025-05-11,2025-05-12,Delivered,3
Houston,Las Vegas,UPS,Standard,93.6,1.5,49x32x22,2025-05-30,2025-05-30,2025-06-01,2025-06-01,Delivered,2
Atlanta,Miami,DHL,Standard,205.3,4.5,44x35x23,2025-05-23,2025-05-23,2025-05-27,2025-05-27,Delivered,4
Miami,Miami,UPS,Express,166.3,3.1,45x40x20,2025-05-07,2025-05-07,2025-05-13,2025-05-13,Delayed,6
Boston,San Francisco,UPS,Express,337.6,4.2,26x25x9,2025-05-25,2025-05-26,2025-05-30,2025-05-30,Delayed,4
